2022-02-22 오전 8:54:31	이 로그에는 사용자 'user'이(가) 컴퓨터 'DESKTOP-HKC31JI'의 프로젝트 'PlanLogisticsSQLServer'(으)로 스키마를 가져오는 작업에 대한 정보가 들어 있습니다.
2022-02-22 오전 8:54:32	데이터베이스 스키마 가져오기를 시작했습니다.
2022-02-22 오전 8:54:33	오류 메시지를 모으고 있습니다.
2022-02-22 오전 8:54:33	암호화 공급자를 모으고 있습니다.
2022-02-22 오전 8:54:33	자격 증명을 모으고 있습니다.
2022-02-22 오전 8:54:33	로그인을 모으고 있습니다.
2022-02-22 오전 8:54:33	서버 역할을 모으고 있습니다.
2022-02-22 오전 8:54:33	서버 역할 멤버 자격을 모으고 있습니다.
2022-02-22 오전 8:54:33	연결된 서버를 모으고 있습니다.
2022-02-22 오전 8:54:33	연결된 서버 로그인을 모으고 있습니다.
2022-02-22 오전 8:54:33	경로를 모으고 있습니다.
2022-02-22 오전 8:54:33	ddl 트리거를 모으고 있습니다.
2022-02-22 오전 8:54:33	암호화 및 clr ddl 트리거를 모으고 있습니다.
2022-02-22 오전 8:54:33	이벤트 알림을 모으고 있습니다.
2022-02-22 오전 8:54:33	서버 감사를 모으고 있습니다.
2022-02-22 오전 8:54:33	서버 감사 사양을 모으고 있습니다.
2022-02-22 오전 8:54:33	이벤트 알림을 모으고 있습니다.
2022-02-22 오전 8:54:35	데이터베이스 자격 증명을 모으는 중
2022-02-22 오전 8:54:35	데이터베이스 옵션을 모으고 있습니다.
2022-02-22 오전 8:54:35	사용자를 모으고 있습니다.
2022-02-22 오전 8:54:35	역할을 모으고 있습니다.
2022-02-22 오전 8:54:35	애플리케이션 역할을 모으고 있습니다.
2022-02-22 오전 8:54:35	역할 멤버 자격을 모으고 있습니다.
2022-02-22 오전 8:54:35	파일 그룹을 모으고 있습니다.
2022-02-22 오전 8:54:35	파일을 모으고 있습니다.
2022-02-22 오전 8:54:35	전체 텍스트 카탈로그를 모으고 있습니다.
2022-02-22 오전 8:54:35	어셈블리를 모으고 있습니다.
2022-02-22 오전 8:54:35	인증서를 모으고 있습니다.
2022-02-22 오전 8:54:35	비대칭 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	대칭 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	암호화된 대칭 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	데이터베이스 암호화 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	스키마를 모으고 있습니다.
2022-02-22 오전 8:54:35	XML 스키마 컬렉션을 모으고 있습니다.
2022-02-22 오전 8:54:35	사용자 정의 데이터 형식을 모으고 있습니다.
2022-02-22 오전 8:54:35	사용자 정의 유형을 모으고 있습니다.
2022-02-22 오전 8:54:35	테이블 형식을 모으고 있습니다.
2022-02-22 오전 8:54:35	테이블 형식에 대한 고유 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	테이블 형식에 대한 기본 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	테이블 형식에 대해 인덱스를 모으는 중
2022-02-22 오전 8:54:35	테이블 형식에 대한 CHECK 제약 조건을 모으고 있습니다.
2022-02-22 오전 8:54:35	테이블 형식에 대한 DEFAULT 제약 조건을 모으고 있습니다.
2022-02-22 오전 8:54:35	파티션 함수를 모으고 있습니다.
2022-02-22 오전 8:54:35	파티션 구성표를 모으고 있습니다.
2022-02-22 오전 8:54:35	함수를 모으고 있습니다.
2022-02-22 오전 8:54:35	암호화된 함수를 모으고 있습니다.
2022-02-22 오전 8:54:35	집계를 모으고 있습니다.
2022-02-22 오전 8:54:35	프로시저를 모으고 있습니다.
2022-02-22 오전 8:54:35	암호화된 프로시저를 모으고 있습니다.
2022-02-22 오전 8:54:35	테이블을 모으고 있습니다.
2022-02-22 오전 8:54:35	기본 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	UNIQUE 제약 조건을 모으고 있습니다.
2022-02-22 오전 8:54:35	외래 키를 모으고 있습니다.
2022-02-22 오전 8:54:35	DEFAULT 제약 조건을 모으고 있습니다.
2022-02-22 오전 8:54:35	CHECK 제약 조건을 모으고 있습니다.
2022-02-22 오전 8:54:35	뷰를 모으고 있습니다.
2022-02-22 오전 8:54:35	암호화된 뷰를 모으고 있습니다.
2022-02-22 오전 8:54:35	인덱스를 모으고 있습니다.
2022-02-22 오전 8:54:35	통계를 모으고 있습니다.
2022-02-22 오전 8:54:35	전체 텍스트 인덱스 중지 목록을 모으고 있습니다.
2022-02-22 오전 8:54:35	검색 속성 목록을 모으고 있습니다.
2022-02-22 오전 8:54:35	검색 속성을 모으고 있습니다.
2022-02-22 오전 8:54:35	전체 텍스트 인덱스를 모으고 있습니다.
2022-02-22 오전 8:54:35	열 저장 인덱스를 가져오고 있습니다.
2022-02-22 오전 8:54:35	공간 인덱스를 모으고 있습니다.
2022-02-22 오전 8:54:35	XML 인덱스를 모으고 있습니다.
2022-02-22 오전 8:54:35	선택적 XML 인덱스를 모으고 있습니다.
2022-02-22 오전 8:54:35	암호화된 트리거를 모으고 있습니다.
2022-02-22 오전 8:54:35	트리거를 모으고 있습니다.
2022-02-22 오전 8:54:35	암호화 및 clr ddl 트리거를 모으고 있습니다.
2022-02-22 오전 8:54:35	ddl 트리거를 모으고 있습니다.
2022-02-22 오전 8:54:35	동의어를 모으고 있습니다.
2022-02-22 오전 8:54:35	기본값을 모으고 있습니다.
2022-02-22 오전 8:54:35	데이터 제약 조건 uddt 바인딩을 모으고 있습니다.
2022-02-22 오전 8:54:35	규칙을 모으고 있습니다.
2022-02-22 오전 8:54:36	데이터 제약 조건 uddt 바인딩을 모으고 있습니다.
2022-02-22 오전 8:54:36	메시지 유형을 모으고 있습니다.
2022-02-22 오전 8:54:36	큐를 모으고 있습니다.
2022-02-22 오전 8:54:36	계약을 모으고 있습니다.
2022-02-22 오전 8:54:36	서비스를 모으고 있습니다.
2022-02-22 오전 8:54:36	경로를 모으고 있습니다.
2022-02-22 오전 8:54:36	이벤트 알림을 모으고 있습니다.
2022-02-22 오전 8:54:36	원격 서비스 바인딩을 모으고 있습니다.
2022-02-22 오전 8:54:36	Broker 우선 순위를 모으고 있습니다.
2022-02-22 오전 8:54:36	데이터베이스 감사 사양을 모으고 있습니다.
2022-02-22 오전 8:54:36	서명을 모으고 있습니다.
2022-02-22 오전 8:54:36	데이터 압축 옵션을 모으고 있습니다.
2022-02-22 오전 8:54:36	시퀀스 유형을 모으고 있습니다.
2022-02-22 오전 8:54:36	보안 정책을 모으고 있습니다.
2022-02-22 오전 8:54:36	열 암호화 키 수집
2022-02-22 오전 8:54:36	열 마스터 키 수집 중
2022-02-22 오전 8:54:36	외부 데이터 원본 수집 중
2022-02-22 오전 8:54:36	외부 파일 형식 수집 중
2022-02-22 오전 8:54:36	외부 테이블 수집 중
2022-02-22 오전 8:54:36	확장 속성을 모으고 있습니다.
2022-02-22 오전 8:54:36	프로젝트에서 중복 요소를 검색하고 있습니다.
2022-02-22 오전 8:54:36	중복 요소를 처리했습니다.
2022-02-22 오전 8:54:36	데이터베이스 가져오기를 완료했습니다.
2022-02-22 오전 8:54:36	가져오기 요약 정보가 다음 위치에 저장되었습니다. C:\Users\user\Desktop\EveryoneManagesMerchandise\EveryoneManagesMerchandise\WebApp\PlanLogisticsSQLServer\스키마 로그 가져오기\PlanLogisticsSQLServ_20220221115431.log
2022-02-22 오전 8:54:36	계속하려면 [마침]을 클릭하십시오....
